4/25/02,Los,CQF,"Los 1, Col 0",Craig Johnson,2:19,Col
4/24/02,Car,CQF,"Car 3, Njd 2",Josef Vasicek,8:16,Car
4/19/02,Car,CQF,"Car 2, Njd 1",Bates Battaglia,15:26,Car
4/17/02,Van,CQF,"Van 4, Det 3",Henrik Sedin,13:59,Det
4/17/02,Phi,CQF,"Phi 1, Ott 0",Ruslan Fedotenko,7:47,Ott
5/21/01,Col,CF,"Col 2, Stl 1",Joe Sakic,0:24,Col
5/18/01,Stl,CF,"Col 4, Stl 3",Stephane Yelle,4:23,Col
5/16/01,Stl,CF,"Stl 4, Col 3",Scott Young,10:27,Col
5/10/01,Buf,CSF,"Pit 3, Buf 2",Darius Kasparaitis,13:01,Pit
5/8/01,Pit,CSF,"Pit 3, Buf 2",Martin Straka,11:29,Pit
5/6/01,Los,CSF,"Los 1, Col 0",Glen Murray,22:41,Col
5/5/01,Buf,CSF,"Buf 3, Pit 2",Stu Barnes,8:44,Pit
5/1/01,Stl,CSF,"Stl 3, Dal 2",Cory Stillman,29:26:00,Stl
5/1/01,Tor,CSF,"NJ 3, Tor 2",Brian Rafalski,7:00,NJ
4/28/01,NJ,CSF,"NJ 6, Tor 5",Randy McKay,5:31,NJ
4/26/01,Col,CSF,"Los 4, Col 3",Jaroslav Modry,14:23,Col
4/23/01,Los,CQF,"Los 3, Det 2",Adam Deadmarsh,4:48,Los
4/23/01,Pit,CQF,"Pit 4, Was 3",Martin Straka,13:04,Pit
4/19/01,Dal,CQF,"Dal 4, Edm 3",Kirk Muller,8:01,Dal
4/19/01,Stl,CQF,"Stl 3, San 2",Bryce Salvador,9:54,Stl
4/18/01,Car,CQF,"Car 3, Njd 2",Rod Brind'Amour,0:46,Njd
4/18/01,Was,CQF,"Was 4, Pit 3",Jeff Halpern,4:01,Stl
4/18/01,Los,CQF,"Los 4, Det 3",Eric Belanger,2:36,Los
4/17/01,Edm,CQF,"Edm 2, Dal 1",Mike Comrie,17:19,Dal
4/17/01,Buf,CQF,"Buf 4, Phi 3",Curtis Brown,6:13,Buf
4/16/01,Van,CQF,"Col 4, Van 3",Peter Forsberg,2:50,Col
4/16/01,Tor,CQF,"Tor 3, Ott 2",Cory Cross,2:16,Tor
4/15/01,Edm,CQF,"Dal 3, Edm 2",Benoit Hogue,19:48,Dal
4/14/01,Phi,CQF,"Buf 4, Phi 3",Jay McKee,18:02,Buf
4/13/01,Ott,CQF,"Tor 1, Ott 0",Mats Sundin,10:49,Tor
4/11/01,Dal,CQF,"Dal 2, Edm 1",Jamie Langenbrunner,2:08,Dal
6/11/00,Njd,F,"Njd 2, Dal 1",Jason Arnott,28:20:00,Njd
6/9/00,Dal,F,"Dal 1, Njd 0",Mike Modano,46:21:00,Njd
5/23/00,Dal,CF,"Dal 3, Col 2",Joe Nieuwendyk,12:10,Dal
5/4/00,Pit,CSF,"Phi 2, Pit 1",Keith Primeau,92:01:00,Phi
5/3/00,Det,CSF,"Col 3, Det 2",Chris Drury,10:21,Col
5/2/00,Pit,CSF,"Phi 3, Pit 2",Andy Delmore,11:01,Phi
4/22/00,Tor,CQF,"Tor 2, Ott 1",Steve Thomas,14:47,Tor
4/18/00,Buf,CQF,"Buf 3, Phi 2",Stu Barnes,4:42,Phi
4/15/00,Pit,CQF,"Pit 2, Was 1",Jaromir Jagr,5:48,Pit
6/19/99,Buf,F,"Dal 2, Buf 1",Brett Hull,58:21:00,Dal
6/8/99,Dal,F,"Buf 3, Dal 2",Jason Woolley,15:30,Dal
5/28/99,Col,CF,"Col 3, Dal 2",Chris Drury,19:29,Dal
5/17/99,Pit,CSF,"Tor 4, Pit 3",Garry Valk,1:57,Tor
5/17/99,Stl,CSF,"Dal 2, Stl 1",Mike Modano,2:21,Dal
5/13/99,Pit,CSF,"Tor 3, Pit 2",Sergei Berezin,2:18,Tor
5/12/99,Stl,CSF,"Stl 3, Dal 2",Pierre Turgeon,5:52,Dal
5/10/99,Dal,CSF,"Stl 3, Dal 2",Pavol Demitra,2:43,Dal
5/8/99,Dal,CSF,"Dal 5, Stl 4",Joe Nieuwendyk,8:22,Dal
5/7/99,Col,CSF,"Det 3, Col 2",Kirk Maltby,4:18,Col
5/4/99,Pho,CQF,"Stl 1, Pho 0",Pierre Turgeon,17:59,Stl
5/3/99,SJ,CQF,"Col 3, SJ 2",Milan Hejduk,13:12,Col
5/2/99,SJ,CQF,"Pit 3, NJ 2",Jaromir Jagr,8:59,Pit
4/30/99,Pho,CQF,"Stl 2, Pho 1",Scott Young,5:43,Stl
4/30/99,Tor,CQF,"Tor 2, Phi 1",Yanic Perreault,11:51,Tor
4/30/99,Car,CQF,"Bos 4, Car 3",Anson Carter,34:45:00,Bos
4/27/99,Edm,CQF,"Dal 3, Edm 2",Joe Nieuwendyk,57:34:00,Dal
4/26/99,SJ,CQF,"Col 2, SJ 1",Milan Hejduk,7:53,Col
4/24/99,Pho,CQF,"Pho 4, StL 3",Shane Doan,8:58,Stl
4/24/99,Bos,CQF,"Car 3, Bos 2",Ray Sheppard,17:05,Bos
